# Radar input. Scale: 100 = well-educated-adult anchor (Hendrycks). Eras 1-2 from
# Hendrycks Table 1 (data/hendrycks_table1.csv), x10 to domain scores.
# ring: ordinal placement above anchor (anchor=100 -> radial 1.0; expert 1.25; virtuoso 1.5;
# team 1.75; enterprise 2.0). Axes with ring get radial from ring, not score.
# R split: R-static carries the Hendrycks composite R for eras 1-2 (their battery -
# deduction/induction/ToM/planning/WCST - is a static-instrument measure). R-dynamic does
# NOT inherit it: ARC-AGI-3 (arXiv:2603.24621) measured GPT-5-era frontier systems at <1%,
# so era 2 = 5 there. Corrected 2026-07-03 (operator caught composite-carry conflation).
#
# === ERA-3 RE-SCORE RS-2026-07-14 (SOTA-envelope; see MAPPING.md + recipe Method 7) ===
# Eras 1-2 = GPT-4/GPT-5 (Hendrycks). Era-3 = CURRENT FRONTIER SOTA per axis (best model,
# named+dated in era3_evidence.csv), placed via the calibration bridge (position vs the
# benchmark's HUMAN baseline, a judgment not a raw %). Adversarially re-consulted (gemini
# 2026-07-14; codex 2026-07-09). Changes from the 2026-07-03 column:
#   R-static 85->90 (ARC-AGI-2 Sol 92.5% > ~60% panel, but ONE benchmark -> near not at anchor)
#   R-dynamic 5->12 (ARC-AGI-3 Sol 7.78/13.33%, won ft09; off the floor, still far below humans)
#   V 70->78 (BLINK Seed 2.1 Pro 81.4% vs 95.7% human);  A 80->70 (MMAU 65.6% vs ~82% human)
#   WM 60->70 (MRCR ~91.5% but NO human anchor - soft);  MS 10->12;  MR 60->55 (re-mapped
#   hallucination->LongMemEval; durable recall weaker than old proxy - soft)
# K/M/RW unchanged (at/above anchor); S 30 unchanged (no benchmark). Below-anchor axes are
# LOW-CONFIDENCE coverage estimates (see MAPPING.md "no human baseline" class).
axis,label,era1_gpt4,era2_gpt5,era3_score,era3_ring
K,General Knowledge,80,90,100,expert
RW,Reading & Writing,60,100,100,anchor
M,Mathematics,40,100,100,virtuoso
R-static,Reasoning (static),0,70,90,none
R-dynamic,Reasoning (dynamic),0,5,12,none
WM,Working Memory,20,40,70,none
MS,LT Memory Storage,0,0,12,none
MR,LT Memory Retrieval,40,40,55,none
V,Visual Processing,0,40,78,none
A,Auditory Processing,0,60,70,none
S,Speed,30,30,30,none
